Brand,Channel,MerchantId,MerchantName,MerchantUrl,Priority,Synonym,Staging (Mostly),Setup
Sanken,Tokopedia,3604435,Sanken Official Store,https://www.tokopedia.com/sankenofficial,2,sanken,"Audio, Computer, Electronics, Smartphone",2025-01-01
Sanyo,Shopee,779367276,Sanyo Official Shop,https://shopee.co.id/sanyoofficialstore,2,sanyo,"Audio, Computer, Electronics, Smartphone",2025-01-01
Sanyo,Tokopedia,13835348,Sanyo Official Store,https://www.tokopedia.com/sanyoofficial,2,sanyo,"Audio, Computer, Electronics, Smartphone",2025-01-01
Scarlett Whitening,Tiktok,7493994320825255288,Scarlett Whitening,aweme://user/profile/7493994320825255288,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Lazada,400920000941,Scarlett Whitening,https://www.lazada.co.id/shop/profileVm?sellerId=400920000941&shopId=6130974&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Lazada,400920000941,Scarlett Whitening,https://www.lazada.co.id/shop/profileVm?sellerId=400920000941&shopId=6130974&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Tiktok,7493994320825255288,Scarlett Whitening,aweme://user/profile/7493994320825255288,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Shopee,255365082,Scarlett Whitening Official Shop,https://shopee.co.id/shop/255365082,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Tokopedia,2625052,Scarlett Whitening Official Shop,https://www.tokopedia.com/scarlettwhite,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Tokopedia,2625052,Scarlett Whitening Official Shop,https://www.tokopedia.com/scarlettwhite,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Shopee,255365082,Scarlett Whitening Official Shop,https://shopee.co.id/shop/255365082,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Blibli,SCW-60022,Scarlett Whitening Store Official Store,https://www.blibli.com/merchant/scarlett-whitening-store-official-store/SCW-60022,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scarlett Whitening,Blibli,SCW-60022,Scarlett Whitening Store Official Store,https://www.blibli.com/merchant/scarlett-whitening-store-official-store/SCW-60022,2,scarlett whitening,"Beauty, PersonalCare",2025-03-24
Scentplus,Shopee,710580275,Scentplus Official Store,https://shopee.co.id/shop/710580275,2,scentplus,"Beauty, PersonalCare",2025-03-24
Scora,Blibli,SCA-70039,Scora,https://www.blibli.com/merchant/scora/SCA-70039,2,scora,"Beauty, PersonalCare",2025-03-24
Scora,Blibli,SCA-70039,Scora,https://www.blibli.com/merchant/scora/SCA-70039,2,scora,"Beauty, PersonalCare",2025-03-24
Scora,Shopee,1112776376,Scora Official Store,https://shopee.co.id/shop/1112776376,2,scora,"Beauty, PersonalCare",2025-03-24
Scora,Shopee,1112776376,Scora Official Store,https://shopee.co.id/shop/1112776376,2,scora,"Beauty, PersonalCare",2025-03-24
Sea Makeup,Tiktok,7494083628362073305,Sea Makeup,aweme://user/profile/7494083628362073305,2,sea makeup,"Beauty, PersonalCare",2025-03-24
Sea Makeup,Lazada,400867888047,Sea Makeup,https://www.lazada.co.id/shop/profileVm?sellerId=400867888047&shopId=6062895&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,sea makeup,"Beauty, PersonalCare",2025-03-24
Sea Makeup,Tiktok,7494083628362073305,Sea Makeup,aweme://user/profile/7494083628362073305,2,sea makeup,"Beauty, PersonalCare",2025-03-24
Sea Makeup,Lazada,400867888047,Sea Makeup,https://www.lazada.co.id/shop/profileVm?sellerId=400867888047&shopId=6062895&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,sea makeup,"Beauty, PersonalCare",2025-03-24
Sea Makeup,Shopee,595003600,Sea Makeup Official Shop,https://shopee.co.id/shop/595003600,2,sea makeup,"Beauty, PersonalCare",2025-03-24
Sea Makeup,Tokopedia,16572040,Sea Makeup Official Shop,https://www.tokopedia.com/seamakeupid,2,sea makeup,"Beauty, PersonalCare",2025-03-24
Sea Makeup,Tokopedia,16572040,Sea Makeup Official Shop,https://www.tokopedia.com/seamakeupid,2,sea makeup,"Beauty, PersonalCare",2025-03-24
